#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_006402015.1	PRJNA224116	SAMN05757021		na	34	34	Myxococcus xanthus	strain=KF4.3.9c1		latest	Complete Genome	Major	Full	2019/06/24	ASM640201v1	ETH Zurich	GCA_006402015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/402/015/GCF_006402015.1_ASM640201v1			na
GCF_006402415.1	PRJNA224116	SAMN05757022		na	34	34	Myxococcus xanthus	strain=MC3.3.5c16		latest	Complete Genome	Major	Full	2019/06/24	ASM640241v1	ETH Zurich	GCA_006402415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/402/415/GCF_006402415.1_ASM640241v1			na
GCF_006402735.1	PRJNA224116	SAMN05757023		na	34	34	Myxococcus xanthus	strain=MC3.5.9c15		latest	Complete Genome	Major	Full	2019/06/24	ASM640273v1	ETH Zurich	GCA_006402735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/402/735/GCF_006402735.1_ASM640273v1			na
GCF_013116805.1	PRJNA224116	SAMN14820655	JABFNQ000000000.1	na	34	34	Myxococcus xanthus	strain=AB023		latest	Contig	Major	Full	2020/05/18	ASM1311680v1	Aberystwyth University	GCA_013116805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/116/805/GCF_013116805.1_ASM1311680v1			na
GCF_013116825.1	PRJNA224116	SAMN14820867	JABFNS000000000.1	na	34	34	Myxococcus xanthus	strain=AM003		latest	Contig	Major	Full	2020/05/18	ASM1311682v1	Aberystwyth University	GCA_013116825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/116/825/GCF_013116825.1_ASM1311682v1			na
GCF_013116835.1	PRJNA224116	SAMN14820656	JABFNR000000000.1	na	34	34	Myxococcus xanthus	strain=CA029		latest	Contig	Major	Full	2020/05/18	ASM1311683v1	Aberystwyth University	GCA_013116835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/116/835/GCF_013116835.1_ASM1311683v1			na
GCF_013116865.1	PRJNA224116	SAMN14820868	JABFNT000000000.1	na	34	34	Myxococcus xanthus	strain=AM005		latest	Contig	Major	Full	2020/05/18	ASM1311686v1	Aberystwyth University	GCA_013116865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/116/865/GCF_013116865.1_ASM1311686v1			na
GCF_015775755.1	PRJNA224116	SAMN16960798		na	34	34	Myxococcus xanthus	strain=DK1622::pDPO-Mxn116-Pvan-Tpase		latest	Complete Genome	Major	Full	2020/12/07	ASM1577575v1	Helmholtz Institute for Pharmaceutical Research Saarland	GCA_015775755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/775/755/GCF_015775755.1_ASM1577575v1			na
GCF_016698685.1	PRJNA224116	SAMN17293126		na	34	34	Myxococcus xanthus	strain=R31		latest	Complete Genome	Major	Full	2021/01/19	ASM1669868v1	Guangdong Institute Of Microbiology	GCA_016698685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/698/685/GCF_016698685.1_ASM1669868v1			na
GCF_019895115.1	PRJNA224116	SAMN20115066		na	34	34	Myxococcus xanthus	strain=ATCC 27925		latest	Complete Genome	Major	Full	2021/09/07	ASM1989511v1	Technical University Dortmund	GCA_019895115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/895/115/GCF_019895115.1_ASM1989511v1			na
GCF_900106535.1	PRJNA224116	SAMN05444383	FNOH00000000.1	na	34	34	Myxococcus xanthus	strain=DSM 16526		latest	Scaffold	Major	Full	2016/10/22	IMG-taxon 2693429903 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900106535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/106/535/GCF_900106535.1_IMG-taxon_2693429903_annotated_assembly		assembly from type material	na
GCF_000219105.1	PRJNA224116	SAMN02603152		na	35	35	Corallococcus macrosporus	strain=HW-1		latest	Complete Genome	Major	Full	2011/06/22	ASM21910v1	College of Life Science, Shandong University	GCA_000219105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/105/GCF_000219105.1_ASM21910v1			na
GCF_017302985.1	PRJNA224116	SAMN17960305	JAFIMU000000000.1	na	35	35	Corallococcus macrosporus	strain=ATCC 29039		latest	Contig	Major	Full	2021/03/08	ASM1730298v1	University of Mississippi	GCA_017302985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/302/985/GCF_017302985.1_ASM1730298v1			na
GCF_900109545.1	PRJNA224116	SAMN05444354	FOAP00000000.1	representative genome	41	41	Stigmatella aurantiaca	strain=DSM 17044		latest	Contig	Major	Full	2016/10/31	IMG-taxon 2693429895 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900109545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/545/GCF_900109545.1_IMG-taxon_2693429895_annotated_assembly		assembly from type material	na
GCF_002305875.1	PRJNA224116	SAMN06167122		na	43	43	Cystobacter fuscus	strain=DSM 52655		latest	Complete Genome	Major	Full	2017/09/15	ASM230587v1	Max-Planck Institute for terrestrial Microbiology	GCA_002305875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/875/GCF_002305875.1_ASM230587v1			na
GCF_001027285.1	PRJNA224116	SAMN03704078		representative genome	48	48	Archangium gephyra	strain=DSM 2261		latest	Complete Genome	Major	Full	2015/06/03	ASM102728v1	Dr. Srikrishna Subramanian, Protein Science and Engineering, Institute of Microbial Technology, Chandigarh, India	GCA_001027285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1		assembly from type material	na
GCF_003387095.1	PRJNA224116	SAMN04488083	QUMU00000000.1	na	48	48	Archangium gephyra	strain=DSM 2261		latest	Scaffold	Major	Full	2018/08/14	ASM338709v1	DOE Joint Genome Institute	GCA_003387095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/387/095/GCF_003387095.1_ASM338709v1		assembly from type material	na
GCF_001189295.1	PRJNA224116	SAMN03651481		representative genome	52	52	Chondromyces crocatus	strain=Cm c5		latest	Complete Genome	Major	Full	2015/07/30	ASM118929v1	Helmholtz Centre for Infection Research	GCA_001189295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1		assembly from type material	na
GCF_002343915.1	PRJNA224116	SAMN06167144	NETK00000000.1	representative genome	54	54	Nannocystis exedens	strain=DSM 71		latest	Contig	Major	Full	2017/09/22	ASM234391v1	Max-Planck Institute for terrestrial Microbiology	GCA_002343915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/343/915/GCF_002343915.1_ASM234391v1		assembly from type material	na
GCF_900112715.1	PRJNA224116	SAMN02745121	FOMX00000000.1	na	54	54	Nannocystis exedens	strain=ATCC 25963		latest	Scaffold	Major	Full	2016/11/05	IMG-taxon 2597490371 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900112715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/715/GCF_900112715.1_IMG-taxon_2597490371_annotated_assembly		assembly from type material	na
GCF_001589285.1	PRJNA224116	SAMN02639847	JEMA00000000.1	na	56	56	Sorangium cellulosum	strain=So0008-312		latest	Scaffold	Major	Full	2016/03/11	sce8312.1	Shandong University	GCA_001589285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/589/285/GCF_001589285.1_sce8312.1			na
GCF_002950945.1	PRJNA224116	SAMN04024946		na	56	56	Sorangium cellulosum	strain=So ce26		latest	Complete Genome	Major	Full	2018/02/02	ASM295094v1	Helmholtz Centre for Infection Research	GCA_002950945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/950/945/GCF_002950945.1_ASM295094v1			na
GCF_004135735.1	PRJNA224116	SAMN04024947		na	56	56	Sorangium cellulosum	strain=So ceGT47		latest	Complete Genome	Major	Full	2019/02/04	ASM413573v1	Helmholtz Centre for Infection Research	GCA_004135735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/735/GCF_004135735.1_ASM413573v1			na
GCF_004135755.1	PRJNA224116	SAMN04025228		na	56	56	Sorangium cellulosum	strain=So ce836		latest	Complete Genome	Major	Full	2019/02/04	ASM413575v1	Helmholtz Centre for Infection Research	GCA_004135755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/755/GCF_004135755.1_ASM413575v1			na
GCF_002222655.1	PRJNA224116	SAMN07313362		representative genome	63	63	Vitreoscilla filiformis	strain=ATCC 15551		latest	Complete Genome	Major	Full	2017/07/20	ASM222265v1	L'Oreal	GCA_002222655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1			na
GCF_001442515.1	PRJNA224116	SAMN04158597		na	69	69	Lysobacter enzymogenes	strain=C3		latest	Chromosome	Major	Full	2015/11/12	ASM144251v1	Rutgers, The State University of New Jersey	GCA_001442515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/515/GCF_001442515.1_ASM144251v1			na
GCF_002024615.1	PRJNA224116	SAMN06212355	MTAY00000000.1	na	69	69	Lysobacter enzymogenes	strain=B25		latest	Scaffold	Major	Full	2017/03/09	ASM202461v1	Genomix4life	GCA_002024615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/615/GCF_002024615.1_ASM202461v1			na
GCF_002355975.1	PRJNA224116	SAMD00025316		representative genome	69	69	Lysobacter enzymogenes	strain=M497-1		latest	Complete Genome	Major	Full	2016/11/25	ASM235597v1	Japan Agency for Marine-Earth Science and Technology	GCA_002355975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/975/GCF_002355975.1_ASM235597v1			na
GCF_003789105.1	PRJNA224116	SAMN10233583	RCTY00000000.1	na	69	69	Lysobacter enzymogenes	strain=OH11		latest	Contig	Major	Full	2018/11/16	ASM378910v1	Jiangsu Academy of Agricultural Sciences	GCA_003789105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/789/105/GCF_003789105.1_ASM378910v1			na
GCF_005954665.1	PRJNA224116	SAMN11774060		na	69	69	Lysobacter enzymogenes	strain=YC36		latest	Complete Genome	Major	Full	2019/06/04	ASM595466v1	Ocean University of China	GCA_005954665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/954/665/GCF_005954665.1_ASM595466v1			na
GCF_017168095.1	PRJNA224116	SAMN04922452	LXSD00000000.1	na	69	69	Lysobacter enzymogenes	strain=521		latest	Scaffold	Major	Full	2021/03/05	ASM1716809v1	Chulalongkorn University	GCA_017168095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/168/095/GCF_017168095.1_ASM1716809v1			na
GCF_017355525.1	PRJNA224116	SAMN17207593		na	69	69	Lysobacter enzymogenes	strain=CX03		latest	Complete Genome	Major	Full	2021/01/17	ASM1735552v1	Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences	GCA_017355525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/355/525/GCF_017355525.1_ASM1735552v1			na
GCF_900106525.1	PRJNA224116	SAMN05421681	FNOG00000000.1	na	69	69	Lysobacter enzymogenes	strain=ATCC 29487		latest	Scaffold	Major	Full	2016/10/22	IMG-taxon 2675903697 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900106525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/106/525/GCF_900106525.1_IMG-taxon_2675903697_annotated_assembly		assembly from type material	na
GCF_020162275.1	PRJNA224116	SAMN17137620		na	72	72	Simonsiella muelleri	strain=DSM 2579		latest	Complete Genome	Major	Full	2021/09/28	ASM2016227v1	University of Vienna	GCA_020162275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/162/275/GCF_020162275.1_ASM2016227v1		assembly from type material	na
GCF_013626205.1	PRJNA224116	SAMN09259304	QHJE00000000.1	representative genome	84	84	Hyphomicrobium methylovorum	strain=Bras1		latest	Contig	Major	Full	2020/07/24	ASM1362620v1	University of Warwick	GCA_013626205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/626/205/GCF_013626205.1_ASM1362620v1			na
GCF_003751345.1	PRJNA224116	SAMN10362897	RJKX00000000.1	representative genome	94	94	Stella humosa	strain=DSM 5900		latest	Contig	Major	Full	2018/11/15	ASM375134v1	DOE Joint Genome Institute	GCA_003751345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/751/345/GCF_003751345.1_ASM375134v1		assembly from type material	na
GCF_006738645.1	PRJNA224116	SAMD00165212		na	94	94	Stella humosa	strain=ATCC 43930		latest	Complete Genome	Major	Full	2019/06/03	ASM673864v1	Riken, BDR	GCA_006738645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/738/645/GCF_006738645.1_ASM673864v1		assembly from type material	na
GCF_004339465.1	PRJNA224116	SAMN10866377	SMFY00000000.1	representative genome	100	100	Ancylobacter aquaticus	strain=DSM 101		latest	Contig	Major	Full	2019/03/11	ASM433946v1	DOE Joint Genome Institute	GCA_004339465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/339/465/GCF_004339465.1_ASM433946v1		assembly from type material	na
GCF_002954665.1	PRJNA224116	SAMN06133459	MSCM00000000.1	representative genome	102	102	Polaribacter glomeratus	strain=ATCC 43844		latest	Scaffold	Major	Full	2018/02/27	ASM295466v1	Atmosphere and Ocean Research Institute, The University of Tokyo	GCA_002954665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/665/GCF_002954665.1_ASM295466v1		assembly from type material	na
GCF_007997115.1	PRJNA224116	SAMN10785750	VORP00000000.1	na	102	102	Polaribacter glomeratus	strain=ACAM 171		latest	Contig	Major	Full	2019/08/14	ASM799711v1	University of Tasmania	GCA_007997115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/997/115/GCF_007997115.1_ASM799711v1		assembly from type material	na
GCF_008274645.2	PRJNA224116	SAMN12634167	VTDH00000000.2	na	104	104	Cyclobacterium marinum	strain=Atlantic-IS		latest	Contig	Major	Full	2020/12/16	ASM827464v2	Hampton University	GCA_008274645.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/274/645/GCF_008274645.2_ASM827464v2			na
GCF_003149495.1	PRJNA224116	SAMN08361974		na	114	114	Gemmata obscuriglobus	strain=DSM 5831		latest	Complete Genome	Major	Full	2018/05/23	ASM314949v1	Creighton University	GCA_003149495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/149/495/GCF_003149495.1_ASM314949v1		assembly from type material	na
GCF_008065095.1	PRJNA224116	SAMN10980026		na	114	114	Gemmata obscuriglobus	strain=DSM 5831		latest	Complete Genome	Major	Full	2019/08/22	ASM806509v1	Radboud Universiteit Nijmegen	GCA_008065095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/065/095/GCF_008065095.1_ASM806509v1		assembly from type material	na
GCF_007746295.1	PRJNA224116	SAMN10954013		na	122	122	Gimesia maris	strain=Mal35		latest	Chromosome	Major	Full	2019/07/31	ASM774629v1	Radboud Universiteit Nijmegen	GCA_007746295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/746/295/GCF_007746295.1_ASM774629v1			na
GCF_007747015.1	PRJNA224116	SAMN10954008		representative genome	122	122	Gimesia maris	strain=CA11		latest	Complete Genome	Major	Full	2019/07/31	ASM774701v1	Radboud Universiteit Nijmegen	GCA_007747015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/747/015/GCF_007747015.1_ASM774701v1			na
GCF_008298035.1	PRJNA224116	SAMN10980027		na	122	122	Gimesia maris	strain=DSM 8797		latest	Complete Genome	Major	Full	2019/08/22	ASM829803v1	Radboud Universiteit Nijmegen	GCA_008298035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/298/035/GCF_008298035.1_ASM829803v1		assembly from type material	na
GCF_009720545.1	PRJNA224116	SAMN12726143		na	122	122	Gimesia maris	strain=DSM 8797		latest	Complete Genome	Major	Full	2019/11/29	ASM972054v1	Chinese Academy of Sciences	GCA_009720545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/720/545/GCF_009720545.1_ASM972054v1		assembly from type material	na
GCF_002967715.1	PRJNA224116	SAMN08581533	PUIA00000000.1	na	124	124	Blastopirellula marina	strain=HEX-2 MGV		latest	Contig	Major	Full	2018/03/03	ASM296771v1	University of Sao Paulo	GCA_002967715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/967/715/GCF_002967715.1_ASM296771v1			na
GCF_002967725.1	PRJNA224116	SAMN08581620	PUIB00000000.1	na	124	124	Blastopirellula marina	strain=NAP PRIS-MGV		latest	Contig	Major	Full	2018/03/03	ASM296772v1	University of Sao Paulo	GCA_002967725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/967/725/GCF_002967725.1_ASM296772v1			na
GCF_002967755.1	PRJNA224116	SAMN08581510	PUHZ00000000.1	na	124	124	Blastopirellula marina	strain=Nap-Phe MGV		latest	Contig	Major	Full	2018/03/03	ASM296775v1	University of Sao Paulo	GCA_002967755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/967/755/GCF_002967755.1_ASM296775v1			na
GCF_002967765.1	PRJNA224116	SAMN08581172	PUHY00000000.1	na	124	124	Blastopirellula marina	strain=Hex-1 MGV		latest	Contig	Major	Full	2018/03/03	ASM296776v1	University of Sao Paulo	GCA_002967765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/967/765/GCF_002967765.1_ASM296776v1			na
GCF_003044115.1	PRJNA224116	SAMN08581599	PZKM00000000.1	na	124	124	Blastopirellula marina	strain=HEX PRIS-MGV		latest	Contig	Major	Full	2018/04/07	ASM304411v1	University of Sao Paulo	GCA_003044115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/044/115/GCF_003044115.1_ASM304411v1			na
